,max_between_trial_movement_dS_dL_dP,max_trial_movement_from_origin_dS_dL_dP,between_last_trial_movement_dS_dL_dP
sub-02,0.3643024704829766,1.644769543127547,0.0
sub-03,0.4565431195407505,1.1598711307727252,0.0
sub-04,0.24490320536897828,2.0121933530354386,0.0
sub-06,1.2576427791706195,3.220474266315444,0.0
sub-07,1.3306379372316122,1.7021990894134562,0.0
sub-08,2.0023543592481325,1.8111828676309856,0.0
sub-09,0.6485047262742192,5.408551019450589,0.0
sub-11,1.5996465047003354,1.970084924565436,0.0
sub-13,0.314770535469888,2.8573209725195383,0.0
sub-15,0.7073063692629948,3.3216730212349317,0.0
sub-16,0.30998958047005387,2.3667391977148644,0.0
sub-18,0.9004411529911324,1.4868961934176843,0.0
sub-19,0.7369156057514322,2.360927457589496,0.0
sub-20,0.8043081250366678,2.356610884299739,0.0
sub-21,0.5052484141489214,2.200254698892835,0.0
sub-22,0.6743733164946549,1.2332665324251688,0.0
sub-23,1.7771133222166786,2.6710471317444022,0.0
sub-24,1.4977216997827068,3.7084093126298776,0.0
sub-25,0.4020494621312158,2.8062466427596844,0.0
sub-26,0.7941371292163589,2.1877726847184102,0.0
